First_Major,Second_Major,Third_Major,First_Minor,Second_Minor,Third_Minor,First_Certificate,Second_Certificate,Third_Certificate,Location,Company,Industry,Salary,Graduation Year,GPA,EC_1,EC_2,EC_3,EC_4,EC_5
Economics,none,none,Mathematics,Statistics,none,none,none,none,Washington D.C.,Fannie Mae,Financial Services,85000,2008,3.67,Investment Club,Pi Kappa Phi Fraternity,none,none,none
Biology ,English,none,none,none,none,Markets and Management,none,none,"San Francisco, CA",HomeRun,Marketing,68000,2008,3.73,Delta Gamma Sorority,Club Volleyball,Marketing Club,none,none
Public Policy,none,none,Economics,none,none,none,none,none,"Houston, TX",UT Austin - Law School,Graduate School,none,2008,3.85,Brownstone SLG,Asian Students Association,Club Basketball,Duke Catholic Center,none
Computer Science,none,none,Psychology,none,none,Markets and Management,none,none,"Raleigh, NC",NetApp,Data Storage,85000,2008,3.34,Smarthome,Chronicle Online,ACM,none,none
Mathematics,none,none,Physics,none,none,none,none,none,"Durham, NC",Duke University - Math Department,Graduate School,none,2008,3.81,Math Union,Chronicle,Undergraduate Physics Research,none,none
Public Policy,Economics,none,none,none,none,Markets and Management,none,none,"Chicago, IL",Deloitte,Management Consulting,78000,2009,3.92,Pi Beta Phi Sorority,Consulting Club,none,none,none
Biomedical Engineering,Electrical and Computer Engineering,none,none,none,none,Arts of the Moving Image,none,none,"San Jose, CA",Genentech,Biotechnology,90000,2009,3.56,Engineers without Border,Kappa Alpha Order Fraternity,none,none,none
Computer Science,Electrical and Computer Engineering,none,Economics,none,none,none,none,none,"Mountain View, CA",Google,Internet,92400,2009,3.88,InCube SLG,Club Badminton,none,none,none
Biology ,none,none,Chemistry,none,none,Study of Ethics,none,none,"San Francisco, CA",HomeRun,Marketing,68000,2008,3.73,Sigma Nu Fraternity,Doctors wihout Borders,Marketing Club,none,none
Political Science,Public Policy,none,none,none,none,Markets and Management,none,none,"Cleveland, OH",Ohio Medical School,Graduate School,none,2009,3.92,N/A,N/A,N/A,N/A,N/A
Mathematics,Statistics,Physics,none,none,none,none,none,none,"London, UK",Oxford Graduate School - Physics,Graduate School,none,2008,4,N/A,N/A,N/A,N/A,N/A
Dance,Statistics,none,Education,none,none,none,none,none,"Mobile, AL",XYZ High School,Education,40000,2010,2.8,N/A,N/A,N/A,N/A,N/A
History,Economics,none,German Studies,none,none,none,none,none,"Palo Alto, CA",Kleiner Perkins Caulfield Byers,Venture Capital,75000,2010,3.54,N/A,N/A,N/A,N/A,N/A
Computer Science,Economics,none,none,none,none,Marxism and Society,none,none,"Madison, WI",UW-Madison Graduate School - Computer Science,Graduate School,85000,2008,3.24,Smarthome,Chronicle Online,ACM,none,none
Computer Science,none,none,Psychology,none,none,Markets and Management,none,none,"Raleigh, NC",NetApp,Data Storage,85000,2008,3.76,Smarthome,Chronicle Online,ACM,none,none
Economics,none,none,Mathematics,Statistics,none,none,none,none,Washington D.C.,Fannie Mae,Financial Services,85000,2008,3.67,Investment Club,Pi Kappa Phi Fraternity,none,none,none
Biology ,English,none,none,none,none,Markets and Management,none,none,"Boston, MA",HomeRun,Marketing,68000,2008,3.73,Delta Gamma Sorority,Club Volleyball,Marketing Club,none,none
Public Policy,none,none,Economics,none,none,none,none,none,"Houston, TX",UT Austin - Law School,Graduate School,none,2008,3.85,Brownstone SLG,Asian Students Association,Club Basketball,Duke Catholic Center,none
Computer Science,none,none,Psychology,none,none,Markets and Management,none,none,"Raleigh, NC",NetApp,Data Storage,85000,2008,3.34,Smarthome,Chronicle Online,ACM,none,none
Mathematics,none,none,Physics,none,none,none,none,none,"Durham, NC",Duke University - Math Department,Graduate School,none,2008,3.81,Math Union,Chronicle,Undergraduate Physics Research,none,none
Public Policy,Economics,none,none,none,none,Markets and Management,none,none,"Aurora, IL",Appian,Management Consulting,78000,2009,3.92,Pi Beta Phi Sorority,Consulting Club,none,none,none
Biomedical Engineering,Electrical and Computer Engineering,none,none,none,none,Arts of the Moving Image,none,none,"Salem, WA",Amazon,Biotechnology,90000,2009,3.56,Engineers without Border,Kappa Alpha Order Fraternity,none,none,none
Computer Science,Electrical and Computer Engineering,none,Economics,none,none,none,none,none,"Mountain View, CA",Google,Internet,92400,2009,3.88,InCube SLG,Club Badminton,none,none,none
Biology,Economics,none,Chemistry,none,none,Study of Ethics,none,none,"San Francisco, CA",HomeRun,Marketing,68000,2008,3.73,Sigma Nu Fraternity,Doctors wihout Borders,Marketing Club,none,none
Political Science,Public Policy,none,none,none,none,Markets and Management,none,none,"Cleveland, OH",Ohio Medical School,Graduate School,none,2009,3.92,N/A,N/A,N/A,N/A,N/A
Mathematics,Statistics,none,none,none,none,none,none,none,"London, UK",Oxford Graduate School - Physics,Graduate School,none,2008,4,N/A,N/A,N/A,N/A,N/A
Dance,none,none,Education,none,none,none,none,none,"Mobile, AL",XYZ High School,Education,40000,2010,2.8,N/A,N/A,N/A,N/A,N/A
ICS,Economics,none,German Studies,none,none,none,none,none,"Tempe, Arizona",Kleiner Perkins Caulfield Byers,Venture Capital,75000,2010,3.54,N/A,N/A,N/A,N/A,N/A
Computer Science,Economics,none,none,none,none,Marxism and Society,none,none,"Madison, WI",UW-Madison Graduate School - Computer Science,Graduate School,85000,2008,3.24,Smarthome,Chronicle Online,ACM,none,none
Computer Science,none,none,Psychology,none,none,Markets and Management,none,none,"Sunnyvale, CA",NetApp,Data Storage,85000,2008,3.76,Smarthome,Chronicle Online,ACM,none,none
